"","LGA_NAME22","longitude","latitude","person_weight"
"1","Brimbank",144.803313807338,-37.7475219303684,22
"2","Hobsons Bay",144.829774296049,-37.8547097453992,95
"3","Maribyrnong",144.877777940444,-37.795251823384,18
"4","Melbourne",144.943771819896,-37.8106397485381,98
"5","Melton",144.625976643152,-37.6929550205807,64
"6","Moonee Valley",144.895764609765,-37.7494845476397,22
"7","Moreland",144.948888299957,-37.7298993512887,66
"8","Wyndham",144.61825711771,-37.8866270808854,27
