MB_CODE_2021,LGA_CODE_2022,LGA_NAME_2022,STATE_CODE_2021,STATE_NAME_2021,AUS_CODE_2021,AUS_NAME_2021,AREA_ALBERS_SQKM,ASGS_LOCI_URI_2021
20631956900,21180,Brimbank,2,Victoria,AUS,Australia,0.0221,https://linked.data.gov.au/dataset/asgsed3/MB/20631956900
20088630000,21180,Brimbank,2,Victoria,AUS,Australia,0.0391,https://linked.data.gov.au/dataset/asgsed3/MB/20088630000
20631996110,21180,Brimbank,2,Victoria,AUS,Australia,0.052,https://linked.data.gov.au/dataset/asgsed3/MB/20631996110
20088620000,21180,Brimbank,2,Victoria,AUS,Australia,0.0329,https://linked.data.gov.au/dataset/asgsed3/MB/20088620000
20631977310,21180,Brimbank,2,Victoria,AUS,Australia,0.0759,https://linked.data.gov.au/dataset/asgsed3/MB/20631977310
20088610000,21180,Brimbank,2,Victoria,AUS,Australia,0.0359,https://linked.data.gov.au/dataset/asgsed3/MB/20088610000
20631898810,21180,Brimbank,2,Victoria,AUS,Australia,0.0196,https://linked.data.gov.au/dataset/asgsed3/MB/20631898810
20088600000,21180,Brimbank,2,Victoria,AUS,Australia,0.0471,https://linked.data.gov.au/dataset/asgsed3/MB/20088600000
20632004600,21180,Brimbank,2,Victoria,AUS,Australia,0.035,https://linked.data.gov.au/dataset/asgsed3/MB/20632004600
20086230000,21180,Brimbank,2,Victoria,AUS,Australia,0.035,https://linked.data.gov.au/dataset/asgsed3/MB/20086230000
20632004590,21180,Brimbank,2,Victoria,AUS,Australia,0.0239,https://linked.data.gov.au/dataset/asgsed3/MB/20632004590
20086220000,21180,Brimbank,2,Victoria,AUS,Australia,0.0333,https://linked.data.gov.au/dataset/asgsed3/MB/20086220000
20631956910,21180,Brimbank,2,Victoria,AUS,Australia,0.0276,https://linked.data.gov.au/dataset/asgsed3/MB/20631956910
20086210000,21180,Brimbank,2,Victoria,AUS,Australia,0.0391,https://linked.data.gov.au/dataset/asgsed3/MB/20086210000
20631956920,21180,Brimbank,2,Victoria,AUS,Australia,0.0394,https://linked.data.gov.au/dataset/asgsed3/MB/20631956920
20086200000,21180,Brimbank,2,Victoria,AUS,Australia,0.0394,https://linked.data.gov.au/dataset/asgsed3/MB/20086200000
20631956930,21180,Brimbank,2,Victoria,AUS,Australia,0.0327,https://linked.data.gov.au/dataset/asgsed3/MB/20631956930
20086190000,21180,Brimbank,2,Victoria,AUS,Australia,0.0519,https://linked.data.gov.au/dataset/asgsed3/MB/20086190000
20700170000,21180,Brimbank,2,Victoria,AUS,Australia,0.0027,https://linked.data.gov.au/dataset/asgsed3/MB/20700170000
20086180000,21180,Brimbank,2,Victoria,AUS,Australia,0.0311,https://linked.data.gov.au/dataset/asgsed3/MB/20086180000
20700160000,21180,Brimbank,2,Victoria,AUS,Australia,0.0223,https://linked.data.gov.au/dataset/asgsed3/MB/20700160000
20086170000,21180,Brimbank,2,Victoria,AUS,Australia,0.018,https://linked.data.gov.au/dataset/asgsed3/MB/20086170000
20700150000,21180,Brimbank,2,Victoria,AUS,Australia,0.0223,https://linked.data.gov.au/dataset/asgsed3/MB/20700150000
20086160000,21180,Brimbank,2,Victoria,AUS,Australia,0.0224,https://linked.data.gov.au/dataset/asgsed3/MB/20086160000
20700140000,21180,Brimbank,2,Victoria,AUS,Australia,0.0219,https://linked.data.gov.au/dataset/asgsed3/MB/20700140000
20086150000,21180,Brimbank,2,Victoria,AUS,Australia,0.0183,https://linked.data.gov.au/dataset/asgsed3/MB/20086150000
20700680000,21180,Brimbank,2,Victoria,AUS,Australia,0.0382,https://linked.data.gov.au/dataset/asgsed3/MB/20700680000
20086140000,21180,Brimbank,2,Victoria,AUS,Australia,0.0181,https://linked.data.gov.au/dataset/asgsed3/MB/20086140000
20700670000,21180,Brimbank,2,Victoria,AUS,Australia,0.0101,https://linked.data.gov.au/dataset/asgsed3/MB/20700670000
20086130000,21180,Brimbank,2,Victoria,AUS,Australia,0.036,https://linked.data.gov.au/dataset/asgsed3/MB/20086130000
20700660000,21180,Brimbank,2,Victoria,AUS,Australia,0.0135,https://linked.data.gov.au/dataset/asgsed3/MB/20700660000
20086120000,21180,Brimbank,2,Victoria,AUS,Australia,0.0391,https://linked.data.gov.au/dataset/asgsed3/MB/20086120000
20631917820,21180,Brimbank,2,Victoria,AUS,Australia,0.0182,https://linked.data.gov.au/dataset/asgsed3/MB/20631917820
20086110000,21180,Brimbank,2,Victoria,AUS,Australia,0.0246,https://linked.data.gov.au/dataset/asgsed3/MB/20086110000
20700650000,21180,Brimbank,2,Victoria,AUS,Australia,0.0127,https://linked.data.gov.au/dataset/asgsed3/MB/20700650000
20086100000,21180,Brimbank,2,Victoria,AUS,Australia,0.0208,https://linked.data.gov.au/dataset/asgsed3/MB/20086100000
20700640000,21180,Brimbank,2,Victoria,AUS,Australia,0.016,https://linked.data.gov.au/dataset/asgsed3/MB/20700640000
20086090000,21180,Brimbank,2,Victoria,AUS,Australia,0.0163,https://linked.data.gov.au/dataset/asgsed3/MB/20086090000
20076220000,21180,Brimbank,2,Victoria,AUS,Australia,0.0319,https://linked.data.gov.au/dataset/asgsed3/MB/20076220000
