LPHU,Postcode,Population,SEIFA
NEPHU,3760,277,10
NEPHU,3759,1022,10
NEPHU,3757,9674,7
NEPHU,3755,184,7
NEPHU,3754,50499,8
NEPHU,3753,4690,7
NEPHU,3752,24980,8
NEPHU,3751,92,3
NEPHU,3750,24454,6
NEPHU,3723,3782,6
NEPHU,3430,266,7
NEPHU,3429,39057,7
NEPHU,3428,640,7
NEPHU,3427,5654,5
NEPHU,3180,7654,8
NEPHU,3179,6070,8
NEPHU,3178,33590,9
NEPHU,3160,9065,9
NEPHU,3159,2529,9
NEPHU,3158,6836,9
NEPHU,3156,38458,8
NEPHU,3155,23667,6
NEPHU,3154,4465,8
NEPHU,3153,21238,5
NEPHU,3152,34950,8
NEPHU,3151,10665,6
NEPHU,3147,15113,8
NEPHU,3146,26193,10
NEPHU,3140,17338,7
NEPHU,3139,14237,7
NEPHU,3138,23052,7
NEPHU,3137,14563,7
NEPHU,3136,46281,7
NEPHU,3135,20684,8
NEPHU,3134,34572,8
NEPHU,3133,22942,9
NEPHU,3132,16808,9
NEPHU,3131,23149,7
NEPHU,3130,33071,8
NEPHU,3129,17851,8
NEPHU,3128,22828,6
NEPHU,3127,18608,10
NEPHU,3126,7810,10
NEPHU,3125,15166,6
NEPHU,3124,21903,10
NEPHU,3123,14837,10
NEPHU,3122,22363,10
NEPHU,3121,31494,7
NEPHU,3116,11826,8
NEPHU,3115,3862,10
NEPHU,3114,3860,10
NEPHU,3113,8539,10
NEPHU,3111,12639,10
NEPHU,3109,30896,8
NEPHU,3108,25065,7
NEPHU,3107,14097,9
NEPHU,3106,16989,10
NEPHU,3105,11109,8
NEPHU,3104,21292,10
NEPHU,3103,15623,9
NEPHU,3102,6619,10
NEPHU,3101,24531,10
NEPHU,3099,4980,9
NEPHU,3097,1505,10
NEPHU,3096,1943,9
NEPHU,3095,28411,10
NEPHU,3094,9234,10
NEPHU,3093,3948,10
NEPHU,3091,1612,10
NEPHU,3090,2577,10
NEPHU,3089,12453,10
NEPHU,3088,27204,9
NEPHU,3087,9137,7
NEPHU,3085,14003,9
NEPHU,3084,27045,10
NEPHU,3083,31531,5
NEPHU,3082,28763,6
NEPHU,3081,13974,1
NEPHU,3079,17043,10
NEPHU,3078,12247,9
NEPHU,3076,33501,4
NEPHU,3075,23231,1
NEPHU,3074,20242,1
NEPHU,3073,51067,2
NEPHU,3072,33831,4
NEPHU,3071,19002,7
NEPHU,3070,25269,9
NEPHU,3068,19341,9
